ID	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
1	Massachusetts Institute of Technology (MIT) 	6	100	100	100	100	97.6	96.3	99.7	78.7	96.3	90.9	96.3	87.4
2	Harvard University	5	99.2	100	100	99.3	94.1	85.3	100	89.7	85.7	98.2	92.3	96.3
3	University of Cambridge	5	99	100	100	99.6	95.5	96	95.8	93.5	90.5	91.8	97	91.2
4	UCL (University College London)		98.9	99.9	98.7	98.9	96.5	100	95.6	85.6	75.9	85.4	79.6	81.2
5	Imperial College London		98.8	99.9	100	99.8	99.9	99.9	92.5	59.5	88.3	85.5	89.4	74.9
6	University of Oxford	5	98.7	100	100	100	97.7	96.7	93.1	99.1	86.1	92.3	90.4	94.2
7	Stanford University	5	96.8	100	100	94.4	75.6	76	100	86.8	93.3	91.2	92.5	89.2
8	Yale University	5	96.5	100	100	100	94.4	72.7	88.8	89	75.2	88.6	84.3	87.4
9	University of Chicago	5	96.2	99.9	94.3	96.2	78.8	74.9	97.8	83.7	69.6	80.2	82.8	86.3
10	California Institute of Technology (Caltech)	5	96.1	99.6	69.2	100	92.2	87.7	100	53.2	85.8	73.3	91.4	60.8
11	Princeton University	5	96.1	100	95.1	96.3	76.3	68.8	98.8	86.5	81.6	74.1	89.2	84.4
12	ETH Zurich (Swiss Federal Institute of Technology)		94.3	99.9	97.9	76.5	100	98.4	94.9	60.9	89.5	81.1	91.9	0
13	University of Pennsylvania	5	93.8	98.4	93.8	99.9	55	69.8	92.7	76.7	74.6	85	77.1	83.8
14	Columbia University	5	93.6	100	100	95.9	16.2	78.8	96.8	84.3	77	84.2	83.6	87.7
15	Cornell University	5	92.5	99.8	97.8	75.1	87.8	64.6	99.2	75.3	80.6	82.7	85.7	78.2
16	Johns Hopkins University		92.1	96	64.1	100	78.9	69.7	97.8	66.3	69.9	91.6	75.1	67.6
17	University of Edinburgh		91.3	99.7	98.3	75.1	89.8	97.3	84.5	82	74.9	82.8	81	75.9
18	University of Toronto		91.3	99.9	95.9	78.8	97.7	86.8	82.2	80.3	80.2	85.1	83.3	79.2
19	Ecole Polytechnique Fédérale de Lausanne 		90.9	87.9	88.3	94.5	100	100	88.2	0	86.4	72.3	86	0
20	King's College London (KCL)	5	90.9	94.6	93.7	89.9	93.9	96.6	79.3	80.6	68.2	84.7	67.3	77.4
21	McGill University		90.6	99.1	95.7	90.2	81.1	90.2	72.2	76.7	74.8	81.9	79.5	77.5
22	University of Michigan	5	90.5	99.8	95	92.7	44	45.9	88.7	74.9	80.7	83.9	81.2	82
23	Duke University	5	90.1	96.2	85.8	99.9	16.4	44.4	98.4	74.4	70.5	86.5	76.1	77
24	National University of Singapore (NUS)		89.4	100	99.9	89.1	100	96.6	57.3	79.2	87.2	81.5	86.5	87.3
25	University of California. Berkeley (UCB)		89	100	100	52.1	93.9	74.7	98.9	87.2	90.2	85.6	93.4	87.3
26	University of Hong Kong		88.6	99.4	93.1	94.7	100	98.7	51.7	73.2	76.5	79.4	76.7	81.5
27	Australian National University	6	88.5	99.7	92.4	83.4	99.9	94.1	63.2	79.5	74.2	71.5	79.9	81.4
28	Ecole normale supérieure. Paris		87.8	89.7	77.4	97.1	58.7	52.1	94.3	64	0	0	76.2	0
29	Northwestern University		87.3	92.9	90.7	87.2	12	55.4	99.5	65.1	78.2	76.6	81.6	79.4
30	University of Bristol		86.6	92.2	98.3	78.6	83.7	81	78.1	70	71.1	76.6	78.5	70.7
31	The University of Melbourne		86	99.8	100	50.1	81.5	96.6	84	78.6	79.5	83	80.4	83
32	The University of Tokyo		85.7	100	99.3	91.4	11.1	27.3	76.3	78.5	81.2	80.8	84.4	77.6
33	The University of Manchester		85.2	99.2	100	66.2	84.5	96	64.7	74.6	79.8	79.9	80.8	79.6
34	The Hong Kong University of Science and Technology		84.4	93.3	90.6	86.5	100	98.6	52.6	54.8	81.2	57.4	79.1	78.8
35	Kyoto University		84.1	99.9	92.1	94.8	16.5	22.9	68.4	72.8	77.2	78.3	82.2	72.4
36	Seoul National University	6	84.1	98.7	93.6	87	47.2	60.4	60.9	66.8	76.3	73.2	78.5	75.6
37	University of Wisconsin-Madison	5	83	97.4	69.7	91.8	56.9	36	68.7	68.5	73.3	80.5	79.4	74.1
38	The University of Sydney		82.9	99.5	98	50.1	99.7	87.2	68.4	78.5	76.1	79.3	76.4	79.9
39	The Chinese University of Hong Kong		82.3	94.5	83.3	87.9	95.8	81.7	47.1	68.4	72.7	71.6	71.4	78
40	University of California. Los Angeles (UCLA)		81.9	100	98	47.7	2.3	43.6	100	84	82.8	89	86.5	82.8
41	Ecole Polytechnique		81.1	74.1	97.5	99.9	72	91.4	66.2	0	76.9	0	78.3	57.2
42	Nanyang Technological University (NTU)	6	81.1	92.4	94.1	90.1	100	97.1	33	62.9	83.3	62.9	78	77.6
43	The University of Queensland	6	80.9	95.7	91.9	49.8	98.8	86.8	69.3	70.8	76.6	77.8	79.2	77.2
44	New York University (NYU)	5	80.8	98.4	92	94.9	23.5	60	43.8	84.1	68	80.1	74.1	84.2
45	University of Copenhagen		80.5	89	78.9	99.7	67.5	37.5	57.4	72.1	68.4	80.6	77.6	74.9
46	Peking University		80	99.8	98.8	79	64.5	32.1	46.5	77.1	77.8	72.7	83	80.6
47	Brown University		79.8	81.1	65.5	85.2	23.5	55.8	97.6	72.4	69.9	68.9	74.8	68.4
48	Tsinghua University		79.7	99.3	99.1	88.6	48.7	38.9	38.3	68.9	84.6	69.8	80.6	77.1
49	University of British Columbia		79.4	99.6	86.5	35.4	83.4	53.5	83.4	75.9	75.7	80.1	81.9	79.9
50	Ruprecht-Karls-Universität Heidelberg		79.3	96.4	64.1	86	52.7	61.6	55.6	74.9	64.3	81.1	79.5	65.9
51	University of Glasgow		78.9	86.4	80.1	52.7	81.2	84.7	85.9	68.7	69.1	76.5	70.9	68.9
52	The University of New South Wales	6	78.8	96.5	98.6	40.2	100	95.8	61.2	69.4	78.9	75	78.6	81
53	Technische Universität München		78.5	90.7	96.1	95.5	51	57.7	39.1	0	81.9	74.2	85	60.3
54	University of North Carolina. Chapel Hill		77	83.9	56.3	78.8	43.6	22.1	92.4	66.3	66.4	81	71.9	70.7
55	Osaka University		76.9	91.7	80.5	93.2	14.9	19.9	57.7	57.3	73	77.8	75.7	61.1
56	University of Illinois at Urbana-Champaign		76.7	97.9	77.5	23.6	67.6	62.6	91.3	65.9	80.2	68.5	79.9	69.3
57	Carnegie Mellon University		76.6	85.8	82.6	46.4	18.6	98	93.4	61.8	81.2	54.6	73.8	68.7
58	University of Amsterdam		76.4	93.8	83.9	41.1	67	30.6	85.7	70.8	67.4	76.9	72.9	75.3
59	University of Washington		76.2	95.2	54.6	54.7	8.7	22.3	99.5	66.5	73.8	85.5	81.7	69.6
60	KAIST - Korea Advanced Institute of Science & Technology		75.8	85.1	72.8	90.8	40.7	21.8	64.5	46.5	78.3	63.3	78.6	62.4
61	Trinity College Dublin		75.1	81.8	82.6	59.8	98	78.7	65.4	70.3	72.5	74.2	71.7	69.1
62	University of Birmingham		74.9	81.3	90.4	57.3	81.6	80	67.4	68.6	71.8	74.4	72.6	71.4
63	University of California. San Diego (UCSD)		74.8	98	50.4	45.5	2.1	22.3	99.8	66.2	74.3	87.9	79.1	68.9
64	The University of Warwick		74.5	89.4	100	47.1	91.6	98	47.7	71.6	67.1	65.2	75.1	80.1
65	Ludwig-Maximilians-Universität München		74.4	98.4	84.3	45.4	46.3	43	63.8	75.6	70.2	80.5	83.7	71.5
66	Tokyo Institute of Technology		74.2	79.8	84.6	76.8	15	35.1	78.3	42.7	77.2	57.7	78.7	0
67	Lund University	5	74	89.6	90	50.8	51.4	52.4	67.7	68.5	72.4	74.2	77.2	72.6
68	London School of Economics and Political Science (LSE)		73.9	92.6	100	63.5	100	100	19.6	76.5	0	0	0	95.2
69	Monash University	6	73.7	94.1	98	34.6	89.5	90.7	50.1	70.5	76	76	74	76.3
70	University of Helsinki		73.7	84.3	55.7	92.9	56.8	14.7	59.9	71.6	66.5	77.2	75.5	71.1
71	The University of Sheffield		73.3	79.3	84.7	59.4	80.4	91.4	62	65.2	70.8	75	70.7	66.9
72	University of Geneva		73.3	66.6	36.9	64.8	100	99	98.9	65.7	60	76.6	74.4	63.1
73	University of Texas at Austin		73.3	98.5	87.9	21.1	57.9	26.5	82	75.3	80.7	68.1	82.8	76.2
74	Leiden University		73.2	86.6	59.8	44.5	68.8	22.7	94.3	75.6	63.2	77	72.2	67.7
75	The University of Nottingham		73.1	80.3	98	54.8	84.8	87.7	56.5	65.6	70.9	72.8	70.1	71.5
76	Tohoku University		73.1	81.8	76	97.9	18.5	21.2	54.9	53.4	72.2	67.7	76.5	55.6
77	Katholieke Universiteit Leuven 		73	93.1	79.6	21.7	74.9	44.3	86.2	71.7	77.6	76.1	76.4	74.7
78	University of Zurich		72.9	80.6	67.6	70.9	99.7	52.2	59.2	69.2	63.8	79.3	73.8	71.3
79	Boston University	5	72.5	75.6	81.5	64.9	12.7	63.7	85.3	68.8	67.4	81.2	72	70.1
80	Uppsala University		72.5	86.3	70.1	38.6	41	48.9	92.5	69.3	67.1	78	76.2	67.9
81	Utrecht University		72.3	84.9	63.2	46.5	55.7	18.1	93.7	68.4	64.1	77.7	77.5	67.1
82	National Taiwan University (NTU)		72	97.5	76.4	39.9	17.5	14.9	77.4	66.8	75.2	73.3	77.9	72.3
83	University of St Andrews		71.6	66.2	78.4	67.8	95.9	99.9	68.5	71.2	63.8	57.9	72.2	60.8
84	The University of Western Australia		71.4	77.5	79.2	38.6	99.9	75.2	78.8	63.7	67.1	71.8	68.9	65.9
85	University of California. Davis		71.3	83.8	48.6	38.7	68.9	41.3	96.9	56.1	70.5	78.6	78.6	63.1
86	University of Southampton		71	73.9	65.8	61	87	89.2	67.9	59.8	71.8	71.1	72.7	62.5
87	Washington University in St. Louis		71	62.1	36.7	99.8	7.2	50.6	96.7	54.9	63.2	83.3	67.7	62.7
88	Fudan University		70.8	92.5	92.9	40.4	18.3	46.5	64.9	66.3	72	70.3	78.6	73.5
89	University of Oslo		70.6	72.4	50.8	83.2	46.3	44.5	75.4	64.6	62.7	73.2	69.5	70.1
90	Durham University		70.4	75.3	98.7	48.9	89.7	76.3	60.4	75	61.3	53.8	76.5	69.4
91	Aarhus University		70.3	75.1	60.1	59.9	66.9	53.7	80	67.6	69	74.9	73.2	73.1
92	Erasmus University Rotterdam		70.2	54.5	91.5	68.7	75.4	57.2	93.2	52.3	59.4	77.6	0	80.7
93	Université de Montréal 	6	70.2	79	59.6	37.3	87	82.6	82.4	67.9	69.7	74	69.9	71.4
94	The University of Auckland		69.8	92.1	88	27.9	89.7	89.1	47.1	68.6	71.8	74.7	70.6	73.3
95	Delft University of Technology		69.4	79.8	81.8	36.6	90.2	74.8	67.3	57.5	83.1	56.2	0	59.4
96	University of Alberta		69.3	77.8	59.6	61.5	90.5	72.9	57.6	64.4	69	72.9	71.9	66.7
97	University of Groningen		69.2	66.4	57.3	73.8	91.9	90.2	63.9	61.3	58.4	71.9	69.9	63.3
98	University of Leeds		69.2	81.3	87.3	48.2	77.8	72.6	52.5	69	70.2	73.3	73.4	69.4
99	Georgia Institute of Technology		68.4	76.2	82.9	18.8	41.6	72.1	99.6	44.4	84.2	60	77.4	63.6
100	Nagoya University		68.4	72.3	64.7	94.1	21.8	28.8	57	52.1	68.1	67.9	73.9	59.5
101	Purdue University		68.4	78.6	82.8	35.5	95.1	77.2	63.7	49.6	77.5	69.2	76.7	65.6
102	Universität Freiburg		67.9	79.2	39.1	59.6	59	43.1	75.1	70.9	63.8	74.5	73.1	60.9
103	University of Minnesota		67.9	83.1	50	35.6	6.1	41.4	99.4	58.9	72.2	75.1	78	71.4
104	City University of Hong Kong		67.7	67	55.1	80.5	100	89.4	47.9	63.8	70.9	0	68.6	73.8
105	The University of Adelaide		67.7	74.8	78.7	47.7	91.5	91.6	54.9	60.7	67	73.3	68.5	66.7
106	University of Pittsburgh		67.6	55.7	25.3	94.2	68.1	39	91.5	61.7	62.6	78.4	64.8	61
107	Pennsylvania State University		67.5	82.4	85.8	34.5	12.7	40.5	80.6	62.2	74	72.8	77.4	70.2
108	Pohang University of Science And Technology (POSTECH)		67.5	51.7	54.7	99.9	59.1	18.2	86.4	0	71.7	58.5	74.5	0
109	Freie Universität Berlin		66.9	93.4	62.2	29.6	51.8	55.4	58.9	76.1	63.6	66.1	73.7	69.4
110	University of Basel		66.2	54.3	44.7	60.3	100	81.3	93.1	61.3	62.3	74.8	68.2	55.5
111	University of Lausanne		66.1	51.8	44.5	61.7	93.2	89.7	96.2	55.7	0	75.7	60.2	62.2
112	Université Pierre et Marie Curie (UPMC)		65.9	72.4	48.2	49.6	36.6	63.6	84.5	0	69.7	74.3	81.6	0
113	Ohio State University	5	65.8	78.9	59.5	45.8	82.4	40.6	63.9	61.6	68.5	77.4	73.4	69.7
114	Yonsei University		65.1	76.3	82	86.2	16.3	37.4	31	61.8	67.8	66.3	71	70.6
115	Queen Mary. University of London (QMUL)		64.8	63.4	53.5	68.6	95.5	96.7	52.7	64.3	63	72.8	67.8	60.7
116	Karlsruhe Institute of Technology (KIT)		64.7	66	92.3	92.1	54.5	55.1	24.5	42.8	78.9	54.3	80.4	54
117	University of Maryland. College Park		64.7	69.4	47.1	64.6	37.3	36	77	58.3	68.5	67.3	75.9	67.2
118	KTH. Royal Institute of Technology	5	64.5	61.9	83.1	69	86.9	76.9	46	44.1	80.1	0	74.4	56.8
119	Dartmouth College		64.1	43.6	65.6	86.5	10.3	53.5	97.1	59.4	57.4	68.3	0	64.6
120	Lomonosov Moscow State University 		63.9	84.1	64.8	99.9	8.7	37.3	6.3	0	65.6	53.7	75.4	58.5
121	Maastricht University		63.8	37.3	81.4	76.5	96.3	99.9	76.8	50.4	0	76	0	67.6
122	University of Ghent		63.7	66.8	60.9	86.9	56.4	29.6	45	63.4	69.6	75.4	71.7	67.7
123	Shanghai Jiao Tong University		63.6	83.6	90.7	41.1	20.4	12.3	54.9	51.9	78.7	68.1	73.5	70.2
124	University of York		63.5	72.5	72.9	44.8	47.9	82.9	57.3	73.7	62.5	66.6	66	66.1
125	University of Southern California		63.2	67.1	59.7	55.3	20.1	71.7	72.7	64.8	70.3	71.7	66	67.2
126	Humboldt-Universität zu Berlin		63.1	97.2	58.5	29.2	48.7	43.4	38.7	77.9	66.6	70.7	75.1	69.9
127	Universidade de São Paulo (USP)		63	94.2	87.6	36.8	11.4	5.7	40.5	65.5	71.6	70.3	73	73.4
128	Georg-August-Universität Göttingen		62.8	76	38.6	81.1	44.5	35.8	40.4	61.9	57.2	71.3	74.9	58.2
129	Newcastle University	5	62.5	50.4	77	64.8	82.1	91	63.8	57.3	64.2	71.7	62.9	60.5
130	University of California. Santa Barbara (UCSB)		62.2	81.6	16.6	14.3	66.6	30.3	99.9	51.9	69.1	60.6	81	54.4
131	University of Liverpool		62.2	56	76.1	62	77.1	85.9	57.3	57.8	67.7	71.1	71.4	57.6
132	University of Virginia		62.1	53.5	64.8	68.7	49.8	39.7	78.7	64.3	59.2	69.9	64.4	66.5
133	Kyushu University		62	66.8	75.2	98	17.8	23.8	29.5	52	67.2	67.9	69.9	55.3
134	Eberhard Karls Universität Tübingen		61.8	66.9	55.8	89.5	35.1	41.2	37.6	70.7	0	74.9	69.1	57.4
135	Technical University of Denmark		61.8	41.5	49.7	98.4	92.7	72.6	60.4	0	79.6	61.5	74.2	0
136	Cardiff University		61.7	60.2	66.3	63.8	72.5	72.7	53.7	60.8	64	72.1	65.9	66.9
137	Rice University		61.7	48.3	24.5	67.6	64.2	70.7	97.2	53.9	73.3	52.9	76	54.7
138	Université Catholique de Louvain (UCL)		61.3	75.5	68.5	40	81	66.6	43.3	65.3	69.1	68.2	70.8	71.9
139	University College Dublin		61.2	61.5	66.7	54.6	93.3	96.5	46.4	63.4	68.3	68.6	66.5	66.9
140	McMaster University		61	60.4	52.3	39.3	82.4	51.8	84	51.9	67.3	75.7	69.2	61.1
141	Emory University		60.9	42.7	30.8	87.8	18.1	43.5	99.4	53.4	0	78.8	59.8	59.1
142	Hebrew University of Jerusalem		60.9	68	37.5	73.4	28.2	9.2	65.7	63	62.4	70.2	67.8	61.1
143	Radboud University Nijmegen		60.8	44.2	52.9	75.1	57.2	36.8	89.6	56	0	71.7	64.1	57.6
144	Hokkaido University		60.6	64.9	61.2	88	13.5	18.8	45.3	46.4	66.8	65.3	71.7	56.4
145	Korea University		60.5	71.2	77.7	79.9	19.1	32	27.3	61.8	67.1	61.1	69.7	70.1
146	University of Cape Town		60.5	68.7	65.5	34.2	68.8	57.2	65.4	64.1	61.4	68.8	64.2	68.2
147	Rheinisch-Westfälische Technische Hochschule Aachen		60.1	74.6	94.4	38.1	38.9	48	43.4	54.8	79.8	63.1	78.6	56.2
148	University of Aberdeen		59.9	53.6	50.6	53.6	89.4	94.9	66.2	60.9	62.9	70.2	59.9	60.4
149	University of California. Irvine 		59.6	66.4	40.4	25.5	53.1	28.7	98.1	59.4	68	72.5	74	63.7
150	Wageningen University		59.4	49.6	41.2	100	46.5	86.2	43	0	0	70.2	74.1	58.3
151	University of Bergen		59.2	48.8	28	73.1	75.6	25.7	84.9	57.4	57.5	64.9	64.5	63.1
152	University of Rochester		59.2	42.4	12.1	99.9	39.1	74	75.9	55.3	59.8	71.1	66.5	62.3
153	Texas A&M University		58.7	73	74.2	19.7	20.2	28.2	77.6	53.1	72.8	67.7	76	64.1
154	University of Bern		58.4	40	44.7	87.1	99	44.5	65.7	56.6	0	67.4	68.1	56.2
155	University of Otago		58.2	62.2	56.6	30.7	100	76.2	62.3	58.9	0	72.7	62	65.8
156	Lancaster University		58.1	60.3	68.2	41.6	84.4	91.9	48.9	65.5	62.1	0	64.4	72.8
157	Eindhoven University of Technology		58	46.9	53.2	99.7	99.7	27	37.1	41	74.7	0	73.5	0
158	Ecole Normale Supérieure de Lyon 		57.7	59.4	28.4	100	58.9	42.8	28.9	0	57.8	0	65.5	0
159	University of Vienna		57.7	84	45	26.9	85.3	89.3	26.2	70.4	61.7	66.4	73.8	66.4
160	University of Colorado Boulder		57.6	53.6	65.9	69.3	38.3	12.1	65.1	54.4	68.4	65.5	79.3	60.6
161	The Hong Kong Polytechnic University		57.5	60.9	59.1	46.7	99.6	89.1	41.2	59.6	73.7	0	65.8	70.8
162	Sungkyunkwan University	5	57.4	56.5	87.4	88.3	19.5	38	26.4	59.9	67.3	63.9	68.6	63.3
163	Rheinische Friedrich-Wilhelms-Universität Bonn		57.3	70.1	33.4	69	15.5	41.9	45.4	57.5	58.1	68.6	74.8	63.3
164	Universidad Nacional Autónoma de México (UNAM)		57.3	95	78.2	44.7	19.2	2.7	6.3	69.3	66.2	66.8	69.2	69.9
165	Zhejiang University		57.2	72.6	72.9	30	14.7	20.4	64.4	54.2	73.7	62.6	72.7	65.9
166	Pontificia Universidad Católica de Chile		57	85.5	87.4	42.1	17.1	21.2	17.5	66.3	64	60.3	61.4	69.9
167	Universiti Malaya (UM)		56.9	58.8	60.8	90	77.3	75.2	7.5	0	64.4	56.6	0	64.1
168	Université Libre de Bruxelles (ULB)		56.8	58.5	58.6	41.5	92.5	96.2	47.9	59.9	64.5	69.6	69.7	66.9
169	University of Exeter		56.8	54.2	75.4	37.4	84.1	92	55.4	63.5	58.1	65	61.3	68.7
170	Stockholm University		56.4	79	63.5	43.1	16.4	21.7	38.7	67.5	66.4	67.5	76.4	72.1
171	Michigan State University		56.2	64.9	67.3	28.8	66	50.7	58.4	56.3	66.5	68	71.8	70.7
172	Queen's University of Belfast		56.1	50.2	70.4	52.5	97.4	91	44.3	56.2	64.5	64.4	66.7	60.8
173	Vrije Universiteit Brussel (VUB)		56.1	41.4	70.2	96.2	71.3	64.7	31.6	51.6	65.5	64.3	62.7	61.4
174	University of Science and Technology of China		55.9	60.4	45.5	60.3	12.7	2.5	70.9	38.1	71.2	59.4	77.9	56.3
175	Case Western Reserve University		55.7	33	5.3	96.5	22.7	59.8	91.8	39.2	57.1	68.5	0	0
176	Nanjing University		55.7	71.4	55.2	41.1	41.2	20.1	50.5	57.9	68	59.7	74.8	63.7
177	Universitat Autónoma de Barcelona		55.6	79	44	34.9	22.8	30.5	48.7	62.2	64.2	66.6	72	69.2
